,text
286,[]
287,"['lives', 'contemplating', 'mental', 'objects', 'mental', 'objects', 'internally', 'clings', 'naught', 'world']"
288,[]
289,"['bhikkhus', 'bhikkhu', 'lives', 'contemplating', 'mental', 'object', 'mental', 'objects', 'aggregates', 'clinging']"
290,"['internal', 'external', 'sensebases']"
291,[]
292,"['bhikkhus', 'bhikkhu', 'lives', 'contemplating', 'mental', 'object', 'mental', 'objects', 'internal', 'external', 'sensebases']"
293,[]
294,"['bhikkhus', 'bhikkhu', 'live', 'contemplating', 'mental', 'object', 'mental', 'objects', 'internal', 'external', 'sensebases']"
295,[]
296,"['bhikkhus', 'bhikkhu', 'understands', 'eye', 'material', 'forms', 'fetter', 'arises', 'dependent', 'eye', 'forms', 'understands', 'arising', 'nonarisen', 'fetter', 'comes', 'understands', 'abandoning', 'arisen', 'fetter', 'comes', 'understands', 'nonarising', 'future', 'abandoned', 'fetter', 'comes', 'understands', 'ear', 'sounds', 'fetter', 'arises', 'dependent', 'ear', 'sounds', 'understands', 'arising', 'nonarisen', 'fetter', 'comes', 'understands', 'abandoning', 'arisen', 'fetter', 'comes', 'understands', 'nonarising', 'future', 'abandoned', 'fetter', 'comes', 'understands', 'organ', 'smell', 'odors', 'fetter', 'arises', 'dependent', 'organ', 'smell', 'odors', 'understands', 'arising', 'nonarisen', 'fetter', 'comes', 'understands', 'abandoning', 'arisen', 'fetter', 'comes', 'understands', 'nonarising', 'future', 'abandoned', 'fetter', 'comes', 'understands', 'organ', 'taste', 'flavors', 'fetter', 'arises', 'dependent', 'organ', 'taste', 'flavors', 'understands', 'arising', 'nonarisen', 'fetter', 'comes', 'understands', 'abandoning', 'arisen', 'fetter', 'comes', 'understands', 'nonarising', 'future', 'abandoned', 'fetter', 'comes', 'understands', 'organ', 'touch', 'tactual', 'objects', 'fetter', 'arises', 'dependent', 'organ', 'touch', 'tactual', 'objects', 'understands', 'arising', 'nonarisen', 'fetter', 'comes', 'understands', 'abandoning', 'arisen', 'fetter', 'comes', 'understands', 'nonarising', 'future', 'abandoned', 'fetter', 'comes', 'understands', 'consciousness', 'mental', 'objects', 'fetter', 'arises', 'dependent', 'consciousness', 'mental', 'objects', 'understands', 'arising', 'nonarisen', 'fetter', 'comes', 'understands', 'abandoning', 'arisen', 'fetter', 'comes', 'understands', 'nonarising', 'future', 'abandoned', 'fetter', 'comes']"
297,[]
298,"['lives', 'contemplating', 'mental', 'object', 'mental', 'objects', 'internally', 'clings', 'naught', 'world']"
299,[]
300,"['bhikkhus', 'bhikkhu', 'lives', 'contemplating', 'mental', 'object', 'mental', 'objects', 'internal', 'externally', 'sensebases']"
301,"['seven', 'factors', 'enlightenment']"
302,[]
303,"['bhikkhus', 'bhikkhu', 'lives', 'contemplating', 'mental', 'object', 'mental', 'objects', 'seven', 'factors', 'enlightenment']"
304,[]
305,"['bhikkhus', 'bhikkhu', 'live', 'contemplating', 'mental', 'object', 'mental', 'objects', 'seven', 'factors', 'enlightenment']"
306,[]
307,"['bhikkhus', 'enlightenment', 'factor', 'mindfulness', 'present', 'bhikkhu', 'knows', 'understanding', 'enlightenment', 'factor', 'mindfulness', 'enlightenment', 'factor', 'mindfulness', 'absent', 'knows', 'understanding', 'enlightenment', 'factor', 'mindfulness', 'understands', 'arising', 'nonarisen', 'enlightenment', 'factor', 'mindfulness', 'comes', 'completion', 'culture', 'arisen', 'enlightenment', 'factor', 'mindfulness', 'comes', 'enlightenment', 'factor', 'investigation', 'mental', 'objects', 'present', 'knows', 'understanding', 'enlightenment', 'factor', 'investigation', 'mental', 'objects', 'enlightenment', 'factor', 'investigation', 'mental', 'objects', 'absent', 'knows', 'understanding', 'enlightenment', 'factor', 'investigation', 'mental', 'objects', 'understands', 'arising', 'nonarisen', 'enlightenment', 'factor', 'investigation', 'mental', 'objects', 'comes', 'completion', 'culture', 'arisen', 'enlightenment', 'factor', 'investigation', 'mental', 'objects', 'comes', 'enlightenment', 'factor', 'energy', 'present', 'knows', 'understanding', 'enlightenment', 'factor', 'energy', 'enlightenment', 'factor', 'energy', 'absent', 'knows', 'understanding', 'enlightenment', 'factor', 'energy', 'understands', 'arising', 'nonarisen', 'enlightenment', 'factor', 'energy', 'comes', 'completion', 'culture', 'arisen', 'enlightenment', 'factor', 'energy', 'comes', 'enlightenment', 'factor', 'joy', 'present', 'knows', 'understanding', 'enlightenment', 'factor', 'joy', 'enlightenment', 'factor', 'joy', 'absent', 'knows', 'understanding', 'enlightenment', 'factor', 'joy', 'understands', 'rising', 'nonarisen', 'enlightenment', 'factor', 'joy', 'comes', 'completion', 'culture', 'arisen', 'enlightenment', 'factor', 'joy', 'comes', 'enlightenment', 'factor', 'calm', 'present', 'knows', 'understanding', 'enlightenment', 'factor', 'calm', 'enlightenment', 'factor', 'calm', 'absent', 'knows', 'understanding', 'enlightenment', 'factor', 'calm', 'understands', 'arising', 'nonarisen', 'enlightenment', 'factor', 'calm', 'comes', 'completion', 'culture', 'arisen', 'enlightenment', 'factor', 'calm', 'comes', 'enlightenment', 'factor', 'concentration', 'present', 'knows', 'understanding', 'enlightenment', 'factor', 'concentration', 'enlightenment', 'factor', 'concentration', 'absent', 'knows', 'understanding', 'enlightenment', 'factor', 'concentration', 'understands', 'arising', 'nonarisen', 'enlightenment', 'factor', 'concentration', 'comes', 'completion', 'culture', 'arisen', 'enlightenment', 'factor', 'concentration', 'comes', 'enlightenment', 'factor', 'equanimity', 'present', 'knows', 'understanding', 'enlightenment', 'factor', 'equanimity', 'enlightenment', 'factor', 'equanimity', 'absent', 'knows', 'understanding', 'enlightenment', 'factor', 'equanimity', 'understands', 'arising', 'nonarisen', 'enlightenment', 'factor', 'equanimity', 'comes', 'completion', 'culture', 'arisen', 'enlightenment', 'factor', 'equanimity', 'comes']"
308,[]
309,"['lives', 'contemplating', 'mental', 'object', 'mental', 'objects', 'internally', 'clings', 'naught', 'world']"
310,[]
311,"['bhikkhus', 'bhikkhu', 'lives', 'contemplating', 'mental', 'object', 'mental', 'objects', 'seven', 'factors', 'enlightenment']"
312,['truths']
313,[]
314,"['bhikkhus', 'bhikkhu', 'lives', 'contemplating', 'mental', 'object', 'mental', 'objects', 'noble', 'truths']"
315,[]
316,"['bhikkhus', 'bhikkhu', 'live', 'contemplating', 'mental', 'object', 'mental', 'objects', 'noble', 'truths']"
317,[]
318,"['bhikkhus', 'bhikkhu', 'understands', 'suffering', 'according', 'reality', 'understands', 'origin', 'suffering', 'according', 'reality', 'understands', 'cessation', 'suffering', 'according', 'reality', 'understands', 'road', 'leading', 'cessation', 'suffering', 'according', 'realty']"
319,[]
320,"['lives', 'contemplating', 'mental', 'object', 'mental', 'objects', 'internally', 'lives', 'contemplating', 'mental', 'objects', 'mental', 'objects', 'externally', 'lives', 'contemplating', 'mental', 'object', 'mental', 'objects', 'internally', 'externally']"
321,[]
322,"['lives', 'contemplating', 'origination', 'things', 'mental', 'objects', 'lives', 'contemplating', 'dissolutionthings', 'mental', 'objects', 'lives', 'contemplating', 'originationanddissolutionthings', 'mental', 'objects', 'mindfulness', 'established', 'thought', 'mental', 'objects', 'exist', 'extent', 'necessary', 'just', 'knowledge', 'remembrance', 'lives', 'independent', 'clings', 'naught', 'world']"
323,[]
324,"['bhikkhus', 'bhikkhu', 'lives', 'contemplating', 'mental', 'object', 'mental', 'objects', 'noble', 'truths']"
325,"['assurance', 'attainment']"
326,[]
327,"['bhikkhus', 'person', 'maintain', 'arousings', 'mindfulness', 'manner', 'seven', 'years', 'fruitions', 'proper', 'expected', 'knowledge', 'arahantship', 'form', 'clinging', 'present', 'state', 'nonreturning', 'stage', 'supramundane', 'fulfillment']"
328,[]
329,"['bhikkhus', 'let', 'seven', 'years', 'person', 'maintain', 'arousings', 'mindfulness', 'manner', 'years', 'years', 'years', 'years', 'years', 'year', 'fruitions', 'proper', 'expected', 'knowledge', 'form', 'clinging', 'present', 'state', 'nonreturning']"
330,[]
331,"['bhikkhus', 'let', 'year', 'person', 'maintain', 'arousings', 'mindfulness', 'manner', 'seven', 'months', 'fruitions', 'proper', 'expected', 'knowledge', 'form', 'clinging', 'present', 'state', 'nonreturning']"
332,[]
333,"['bhikkhus', 'let', 'seven', 'months', 'person', 'maintain', 'arousings', 'mindfulness', 'manner', 'months', 'months', 'months', 'months', 'months', 'month', 'halfamonth', 'fruitions', 'proper', 'expected', 'knowledge', 'form', 'clinging', 'present', 'state', 'nonreturning']"
334,[]
335,"['bhikkhus', 'let', 'halfamonth', 'person', 'maintain', 'arousings', 'mindfulness', 'manner', 'week', 'fruitions', 'proper', 'expected', 'knowledge', 'form', 'clinging', 'present', 'state', 'nonreturning']"
336,[]
337,"['said', 'way', 'bhikkhus', 'purification', 'beings', 'overcoming', 'sorrow', 'lamentation', 'destruction', 'suffering', 'grief', 'reaching', 'right', 'path', 'attainment', 'nibbana', 'arousings', 'mindfulness']"
338,[]
339,"['spoke', 'blessed', 'satisfied', 'bhikkhus', 'approved', 'words']"
340,"['commentary', 'discourse', 'arousing', 'mindfulness']"
341,"['marginal', 'notes']"
342,"['section', 'synopsis']"
343,[]
344,"['evam', 'sutam', 'heard', 'discourse', 'arousing', 'mindfulness', 'satipatthana', 'sutta', 'refers', 'elder', 'ananda', 'cousin', 'buddha', 'buddhist', 'council', 'held', 'sattapanna', 'cave', 'rajagaha', 'presidentship', 'great', 'disciple', 'buddha', 'elder', 'maha', 'kassapa', 'collection', 'discourses', 'sutta', 'pitaka', 'recited', 'elder', 'ananda']"
345,[]
346,"['ekam', 'samayam', 'bhagava', 'kurusu', 'viharati', 'time', 'blessed', 'living', 'country', 'kurus', 'territory', 'kuru', 'princes', 'homeland', 'single', 'contiguous', 'domain', 'taking', 'consideration', 'villages', 'markettowns', 'commonly', 'referred', 'use', 'plural', 'form', 'kurus']"
347,[]
348,"['time', 'legendary', 'king', 'mandhatu', 'say', 'commentators', 'inhabitants', 'continents', 'pubba', 'videha', 'apara', 'goyana', 'uttara', 'kuru', 'having', 'heard', 'jambudipa', 'birthplace', 'sammasambuddhas', 'paccekabuddhas', 'great', 'disciples', 'buddhas', 'universal', 'monarchs', 'beings', 'mighty', 'virtue', 'exceedingly', 'pleasant', 'excellent', 'continent', 'came', 'jambudipa', 'universal', 'monarch', 'mandhatu', 'making', 'tour', 'continents', 'order', 'preceded', 'wheel', 'treasure', 'mandhatu', 'bodily', 'translated', 'himself', 'means', 'psychic', 'virtue', 'tavatimsa', 'devaloka', 'heaven', 'thirtythree', 'people', 'continents', 'accompanied', 'jambudipa', 'begged', 'son', 'territory', 'live', 'said', 'come', 'carried', 'great', 'power', 'mandhatu', 'unable', 'return', 'continents', 'prayer', 'heard', 'lands', 'granted', 'groups', 'people', 'continents', 'places', 'people', 'settled', 'names', 'original', 'continents', 'emigrated', 'settlement', 'people', 'pubba', 'videha', 'came', 'known', 'videha', 'apara', 'goyana', 'aparanta', 'uttara', 'kuru', 'kururattha']"
349,[]
350,"['kammasadammam', 'nama', 'kurunam', 'nigamo', 'kammasadamma', 'markettown', 'kuru', 'people', 'explain', 'word', 'kammasadamma', 'spelling', 'instead', 'kammasa', 'tamed', 'called', 'kammasadamma', 'place', 'taming', 'kammasa', 'kammasa', 'refers', 'cannibal', 'kammasapada', 'speckled', 'black', 'white', 'gray', 'colored', 'foot', 'said', 'wound', 'foot', 'caused', 'stake', 'healed', 'having', 'like', 'piece', 'wood', 'lines', 'fibre', 'complex', 'pattern', 'cittadaru', 'sadiso', 'hutva', 'wellknown', 'kammasapada', 'speckled', 'foot', 'speckled', 'foot', 'tamed', 'great', 'bodhisatta', 'birthstory', 'jataka', 'stated', 'certain', 'commentators', 'say', 'sutasoma', 'birthstory', 'elders', 'great', 'minister', 'anuradhapura', 'maha', 'vihara', 'say', 'stated', 'jayaddisa', 'birthstory', 'kammasapada', 'tamed', 'weaned', 'cannibalism', 'great', 'circumstances', 'mentioned', 'jayaddisa', 'birthstory', 'following', 'statement', 'occurs', 'story']"
351,[]
352,"['free', 'sire', 'renounce', 'life']"
353,"['born', 'son', 'king']"
354,"['jayaddisa', 'pañcalas', 'sovran', 'chief']"
355,"['speckled', 'foot', 'faith']"
356,[]
357,"['keci', 'explain', 'spelling', 'word', 'kammasadhamma', 'said', 'traditional', 'kuru', 'virtuous', 'practice', 'kuruvattadhamma', 'black', 'diversified', 'stained', 'kammaso', 'jato', 'place', 'called', 'kammasadhamma', 'markettown', 'established']"
358,[]
359,"['said', 'kammasadamme', 'kurunam', 'nigame', 'using', 'locative', 'said', 'monastery', 'dwelling', 'place', 'blessed', 'stay', 'markettown', 'away', 'markettown', 'huge', 'dense', 'jungle', 'delightful', 'region', 'watered', 'jungle', 'blessed', 'lived', 'making', 'markettown', 'place', 'gathering', 'alms']"
360,[]
361,"['ekayano', 'ayam', 'bhikkhave', 'maggo', 'way', 'bhikkhus', 'blessed', 'teach', 'discourse', 'ability', 'people', 'kurus', 'deep', 'doctrine']"
362,[]
363,"['inhabitants', 'kuru', 'country', 'bhikkhus', 'bhikkhunis', 'upasakas', 'upasikas', 'reason', 'country', 'blessed', 'perfect', 'climate', 'enjoyment', 'comfortable', 'conditions', 'healthy', 'body', 'mind', 'happy', 'healthy', 'minds', 'bodies', 'having', 'power', 'knowledge', 'capable', 'receiving', 'deep', 'teachings', 'blessed', 'perceiving', 'ability', 'appreciate', 'profound', 'instruction', 'proclaimed', 'discourse', 'arousing', 'mindfulness', 'deep', 'meaning', 'having', 'set', 'subject', 'meditation', 'arahantship', 'twentyone', 'places', 'man', 'having', 'golden', 'basket', 'divers', 'flowers', 'having', 'golden', 'casket', 'precious', 'jewels', 'seven', 'kinds', 'blessed', 'having', 'following', 'kuruland', 'people', 'dispensed', 'said', 'deep', 'doctrine', 'likewise', 'account', 'kurus', 'blessed', 'taught', 'deep', 'teachings', 'mahanidana', 'sutta', 'mahasatipatthana', 'sutta', 'saropama', 'sutta', 'rukkhupama', 'sutta', 'ratthapala', 'sutta', 'magandiya', 'sutta', 'aneñjasappaya', 'sutta']"
364,[]
365,"['territory', 'kuru', 'people', 'classes', 'bhikkhu', 'bhikkhuni', 'upasaka', 'upasika', 'generally', 'nature', 'earnest', 'application', 'arousing', 'mindfulness', 'daily', 'life', 'lowest', 'servants', 'usually', 'spoke', 'mindfulness', 'wells', 'spinning', 'halls', 'useless', 'talk', 'heard', 'woman', 'asked', 'woman', 'mother', 'arousing', 'mindfulness', 'practice', 'reply', 'woman', 'replied', 'reproached', 'life', 'shameful', 'live', 'dead', 'taught', 'kinds', 'mindfulnessarousing', 'questioned', 'said', 'practicing', 'arousing', 'mindfulness', 'praised', 'life', 'blessed', 'really', 'attained', 'human', 'state', 'sammasambuddhas', 'come']"
366,[]
367,"['perfect', 'climate', 'comfortable', 'conditions', 'includes', 'items', 'wholesome', 'food', 'drink', 'essential', 'maintaining', 'mind', 'body', 'unimpaired']"
368,[]
369,"['way', 'way', 'ekayanoti', 'ekamaggo', 'words', 'way', 'word', 'used', 'way', 'ayana', 'going', 'road', 'way', 'bhikkhus', 'ekayano', 'ayam', 'bhikkhave', 'maggo', 'means', 'single', 'way', 'going', 'road', 'bhikkhus', 'way', 'nature', 'double', 'way', 'ekamaggo', 'ayam', 'bhikkhave', 'maggo', 'dvedhapathabhuto']"
370,[]
371,"['way', 'trodden', 'oneself', 'ekeneva', 'ayitabbo', 'companion', 'state', 'companionless', 'twofold', 'comrade', 'abandoning', 'contact', 'crowd', 'sense', 'withdrawn', 'secluded', 'craving', 'tranquillity', 'mind']"
372,[]
373,"['called', 'ekayana', 'way', 'ekassa', 'ayana', 'best', 'beings', 'blessed', 'best', 'called', 'blessed', 'ones', 'way', 'way', 'buddhas', 'creates', 'accordingly', 'said', 'blessed', 'creator', 'uncreated', 'path', 'brahman', 'proceeds', 'exists', 'doctrineanddiscipline', 'accordingly', 'master', 'declared', 'subhadda', 'doctrineanddiscipline', 'eightfold', 'way', 'ekayana', 'means', 'goes', 'ekam', 'ayati', 'way', 'goes', 'solely', 'nibbana', 'earlier', 'stages', 'method', 'meditation', 'proceeds', 'different', 'lines', 'goes', 'just', 'nibbana', 'brahma', 'sahampati', 'said']"
374,[]
375,"['mind', 'perceiving', 'lifes', 'dying']"
376,"['vibrates', 'love', 'knows', 'way']"
377,"['led', 'ancient', 'times', 'leading']"
378,"['future', 'lead', 'past', 'flood']"
379,[]
380,"['nibbana', 'second', 'craving', 'accompanying', 'quality', 'called', 'said', 'truth', 'second']"
381,[]
382,"['arousing', 'mindfulness', 'intended', 'word', 'way', 'factors', 'way', 'understanding', 'thinking', 'speech', 'action', 'livelihood', 'effort', 'concentration', 'mindfulness', 'sure', 'implied', 'arousing', 'mindfulness', 'mentioned', 'factors', 'exist', 'union', 'mindfulness', 'knowledge', 'energy', 'like', 'mentioned', 'analytically', 'expository', 'portion', 'niddese', 'synopsis', 'uddese', 'consideration', 'regarded', 'mindfulness', 'way', 'mental', 'disposition', 'capable', 'trained']"
383,[]
384,"['keci', 'construing', 'according', 'stanza', 'beginning', 'words', 'twice', 'shore', 'param', 'digunam', 'yanti', 'say', 'goes', 'nibbana', 'ekayana', 'explanation', 'proper', 'instruction', 'earlier', 'path', 'intended', 'presented', 'preliminary', 'way', 'mindfulness', 'proceeding', 'objects', 'contemplation', 'meant', 'supramundane', 'way', 'mindfulness', 'preliminary', 'path', 'proceeds', 'aspirant', 'times', 'said', 'going', 'way', 'repetition', 'practice']"
385,[]
386,"['sense', 'way', 'sense', 'path', 'going', 'nibbana', 'sense', 'path', 'fit', 'traversed', 'wish', 'reach', 'nibbana']"
387,[]
388,"['regarding', 'way', 'following', 'account', 'discussion', 'took', 'place', 'long', 'ago']"
389,[]
390,"['elder', 'tipitaka', 'culla', 'naga', 'said', 'way', 'mindfulnessarousing', 'expounded', 'discourse', 'mundane', 'preliminary', 'eightfold', 'way']"
391,[]
392,"['teacher', 'elder', 'culla', 'summa', 'said', 'way', 'mixed', 'way', 'mundane', 'supramundane']"
393,[]
394,"['pupil', 'reverend', 'sir', 'preliminary']"
395,[]
396,"['teacher', 'friend', 'mixed', 'way']"
397,[]
398,"['teacher', 'insistent', 'pupil', 'silent', 'went', 'away', 'coming', 'decision']"
399,[]
400,"['way', 'bathing', 'place', 'teacher', 'considered', 'matter', 'recited', 'discourse', 'came', 'said', 'bhikkhus', 'person', 'maintain', 'arousings', 'mindfulness', 'manner', 'seven', 'years', 'concluded', 'producing', 'consciousness', 'supramundane', 'path', 'possibility', 'continuing', 'state', 'mind', 'seven', 'years', 'pupil', 'culla', 'naga', 'right', 'day', 'happened', 'eighth', 'lunar', 'fortnight', 'elder', 'culla', 'nagas', 'turn', 'expound', 'dhamma', 'exposition', 'begin', 'elder', 'culla', 'summa', 'went', 'hall', 'preaching', 'stood', 'pulpit']"
401,[]
402,"['pupil', 'recited', 'preliminary', 'stanzas', 'teacher', 'spoke', 'pupil', 'hearing', 'saying', 'friend', 'culla', 'naga', 'pupil', 'heard', 'voice', 'teacher', 'replied', 'reverend', 'sir', 'teacher', 'said', 'say', 'way', 'mixed', 'right', 'right', 'calling', 'preliminary', 'way', 'mindfulnessarousing', 'elders', 'old', 'envious', 'holding', 'liked', 'bundle', 'sugarcane', 'took', 'rational', 'gave']"
403,[]
404,"['pupil', 'realising', 'point', 'experts', 'dhamma', 'like', 'learned', 'teacher', 'floundered', 'fellows', 'holy', 'life', 'future', 'likely', 'unsure', 'thought', 'authority', 'citation', 'discoursecollection', 'settle', 'question', 'brought', 'placed', 'hearers', 'following', 'statement', 'patisambhida', 'magga', 'preliminary', 'way', 'mindfulnessarousing', 'called', 'way', 'order', 'elaborate', 'just', 'path', 'way', 'instruction', 'discourse', 'preliminary', 'quoted', 'following', 'patisambhida', 'magga', 'excellent', 'way', 'eightfold', 'way', 'truths', 'dispassion', 'best', 'things', 'belonging', 'wise', 'way', 'purifying', 'vision', 'walk', 'way', 'confound', 'death', 'end', 'suffering']"
405,[]
406,"['sattanam', 'visuddhiya', 'purification', 'beings', 'cleansing', 'beings', 'soiled', 'stains', 'lust', 'hatred', 'delusion', 'defilements', 'covetise', 'called', 'lawless', 'greed', 'forth', 'reach', 'highest', 'purity', 'abandoning', 'mental', 'taints', 'way', 'physical', 'taints', 'cleansing', 'impurities', 'taught', 'dhamma']"
407,[]
408,"['great', 'seer', 'said']"
409,"['bodily', 'taints', 'men', 'impure']"
410,"['washing', 'body', 'pure']"
411,"['great', 'seer', 'declared']"
412,"['mental', 'taints', 'men', 'impure']"
413,"['cleansing', 'mind', 'pure']"
414,[]
415,"['accordingly', 'said', 'mental', 'taints', 'soil', 'beings', 'mental', 'cleansing', 'sanctifies']"
416,[]
417,"['sokaparidevanam', 'samatikkamaya', 'overcoming', 'sorrow', 'lamentation', 'way', 'developed', 'lead', 'casting', 'sorrow', 'similar', 'experienced', 'minister', 'santati', 'casting', 'lamentation', 'similar', 'patacara', 'analytical', 'knowledge', 'santati', 'reach', 'arahantship', 'hearing', 'stanza']"
418,[]
419,"['purge', 'things', 'belonging', 'past']"
420,"['let', 'naught', 'world', 'rise', 'future', 'times']"
421,"['whats', 'twixt', 'past', 'future', 'grasp']"
422,"['wanders', 'forth', 'serene']"
423,[]
424,"['patacara', 'reached', 'fruition', 'stage', 'arahantship', 'hearing', 'following']"
425,[]
426,"['death', 'oppressed']"
427,"['safety', 'seen', 'children', 'father', 'friends']"
428,"['close', 'shelter', 'true']"
429,"['ones', 'kinsfolk']"
430,[]
431,"['called', 'spiritual', 'development', 'bhavana', 'laying', 'hold', 'whatsoever', 'material', 'form', 'feeling', 'consciousness', 'mental', 'objects', 'kaya', 'vedana', 'citta', 'dhammesu', 'kiñci', 'dhammam', 'anamasitva', 'santati', 'patacara', 'overcame', 'sorrow', 'lamentation', 'just', 'way', 'mindfulness']"
432,[]
433,"['hearers', 'savaka', 'disciples', 'buddha', 'attainment', 'noble', 'path', 'ariya', 'magga', 'possible', 'practicing', 'subject', 'meditation', 'kammatthana', 'truths', 'catu', 'sacca', 'spiritual', 'development', 'usually', 'called', 'meditation', 'development', 'wisdom', 'pañña', 'bhavana', 'just', 'contemplation', 'material', 'form', 'corporeality', 'feeling', 'consciousness', 'mental', 'objects', 'constitutes', 'cultivation', 'arousing', 'mindfulness']"
434,[]
435,"['dukkha', 'domanassanam', 'atthangamaya', 'destruction', 'suffering', 'grief', 'cessation', 'bodily', 'suffering', 'mental', 'grief', 'way', 'maintained', 'contemplation', 'conducive', 'destruction', 'suffering', 'similar', 'elder', 'tissa', 'grief', 'similar', 'sakka']"
436,[]
437,"['tissa', 'head', 'family', 'savatthi', 'renouncing', 'crores', 'gold', 'homeless', 'dwelt', 'forest', 'far', 'human', 'beings', 'sisterinlaw', 'sent', 'robber', 'band', 'scour', 'forest', 'order', 'ordered', 'kill']"
438,[]
439,"['sent', 'said', 'batches', 'succession', 'entering', 'forest', 'searching', 'elder', 'course', 'came', 'place', 'lived', 'sat', 'round']"
440,[]
441,"['robbers', 'surrounded', 'elder', 'spoke', 'lay', 'disciples', 'come', 'replied', 'kill', 'elder', 'said', 'security', 'life', 'just', 'night', 'said', 'robbers', 'recluse', 'stand', 'surety', 'place', 'like', 'elder', 'took', 'big', 'stone', 'broke', 'bones', 'legs', 'said', 'lay', 'disciples', 'security', 'value', 'leaving', 'elder', 'went', 'end', 'ambulatory', 'lighting', 'lay', 'ground']"
442,[]
443,"['elder', 'contemplating', 'purity', 'conduct', 'suppressing', 'pain', 'attained', 'arahantship', 'dawn', 'having', 'fulfilled', 'recluses', 'regimen', 'watches', 'night', 'giving', 'expression', 'feelings', 'said']"
444,[]
445,"['surety', 'let', 'raise', 'breaking', 'legs']"
446,"['die', 'lustful', 'mind', 'loathe', 'shrink']"
447,"['having', 'thought', 'saw', 'things']"
448,"['dawn', 'reached', 'arahants', 'domain']"
449,[]
450,"['story', 'thirty', 'bhikkhus', 'taking', 'subject', 'meditation', 'blessed', 'went', 'residence', 'rains', 'forestdwelling', 'agreeing', 'practice', 'duty', 'recluse', 'watches', 'night', 'avoid', 'anothers', 'presence']"
451,[]
452,"['monks', 'began', 'doze', 'early', 'morning', 'doing', 'recluses', 'duty', 'watches', 'night', 'carried', 'away', 'tiger', 'carried', 'away', 'utter', 'words', 'taken', 'tiger', 'bhikkhus', 'devoured', 'uposatha', 'day', 'day', 'meeting', 'order', 'recitation', 'rules', 'asked', 'elder', 'friends', 'known', 'devoured', 'tiger', 'agreed', 'seized', 'tiger', 'utter', 'words', 'taken', 'certain', 'young', 'bhikkhu', 'seized', 'tiger', 'circumstances', 'seized', 'earlier', 'young', 'bhikkhu', 'said', 'tiger', 'reverend', 'sir', 'bhikkhus', 'carrying', 'sticks', 'torches', 'went', 'pursuit', 'tiger']"
453,[]
454,"['tiger', 'having', 'taken', 'young', 'bhikkhu', 'rocky', 'place', 'broken', 'edge', 'hollow', 'spot', 'inaccessible', 'bhikkhus', 'began', 'devour', 'prey', 'feet', 'upwards', 'pursuing', 'bhikkhus', 'said', 'good', 'man', 'extraordinary', 'spiritual', 'attainment', 'bhikkhus', 'seen', 'place']"
455,[]
456,"['bhikkhu', 'prostrate', 'tigers', 'mouth', 'suppressed', 'pain', 'developing', 'wisdom', 'insight', 'attained', 'paths', 'fruits', 'sanctitude', 'analytical', 'knowledge', 'uttered', 'ecstatic', 'utterance']"
457,[]
458,"['virtuous', 'keeping', 'vows']"
459,"['wise', 'growing', 'insight', 'mind']"
460,"['concentration', 'attained']"
461,"['slacked', 'just']"
462,"['tiger', 'took', 'frame', 'flesh', 'blood']"
463,"['unto', 'hill', 'mind', 'quake']"
464,"['devour', 'tiger', 'eat']"
465,"['body', 'bereft', 'thought']"
466,"['thought', 'quiet', 'strongly', 'held']"
467,"['blessing', 'death']"
468,[]
469,"['story', 'elder', 'pitamalla', 'time', 'layman', 'took', 'pennon', 'wrestling', 'kingdoms', 'came', 'tambapanni', 'isle', 'audience', 'king', 'received', 'royal', 'assistance', 'going', 'entrance', 'screened', 'sitting', 'hall', 'heard', 'following', 'passage', 'notyours', 'chapter', 'scripture', 'material', 'form', 'bhikkhus', 'renounce', 'renunciation', 'long', 'time', 'welfare', 'happiness', 'thought', 'material', 'form', 'feeling', 'ones', 'making', 'just', 'thought', 'goad', 'renounced', 'world', 'great', 'minister', 'maha', 'vihara', 'anuradhapura', 'course', 'given', 'lower', 'ordination', 'higher', 'mastered', 'codes', 'discipline', 'dve', 'matika', 'went', 'gavaravaliya', 'shrine', 'thirty', 'bhikkhus', 'duty', 'recluse', 'meditating', 'open', 'night', 'moving', 'knees', 'ambulatory', 'feet', 'unable', 'carry', 'hunter', 'mistaking', 'deer', 'struck', 'spear', 'elder', 'removed', 'spear', 'gone', 'deep', 'body', 'stopping', 'wound', 'wad', 'grass', 'sat', 'flat', 'stone', 'making', 'misfortune', 'opportunity', 'setting', 'energy', 'afoot', 'developed', 'insight', 'attained', 'arahantship', 'analytical', 'knowledge', 'reached', 'state', 'arahantship', 'order', 'apprise', 'fellowbhikkhus', 'achievement', 'sign', 'clearing', 'throat', 'uttered', 'saying', 'joy', 'final', 'liberation', 'suffering']"
470,[]
471,"['world', 'fully', 'awakened', 'man', 'chief']"
472,"['holder', 'right', 'views', 'world']"
473,"['form', 'disciples']"
474,"['fleeting', 'truly', 'component', 'things']"
475,"['ruled', 'laws', 'growth', 'decay']"
476,"['produced', 'dissolution', 'swings']"
477,"['happy', 'things', 'rest', 'stay']"
478,[]
479,"['fellowmonks', 'elder', 'pitamalla', 'come', 'said', 'reverend', 'sir', 'buddha', 'living', 'expressed', 'approval', 'effort', 'stretching', 'hand', 'ocean', 'stroking', 'head']"
480,[]
